income,fico,dti,loan_amnt,default
141958,731,13.389691589340872,8706,0
166867,707,40.45180858979212,11420,0
151932,364,43.13511122418644,41776,1
123694,337,47.279558607943734,32308,1
139879,327,32.107927577420924,17936,1
130268,588,69.20887661141148,3195,0
227892,536,27.75927718170513,16247,0
74886,425,41.39213642526646,13489,1
157337,683,19.537674601388787,15286,0
233458,625,47.963788390783776,34408,0
188266,384,19.787865604028788,17624,0
107498,545,23.112850094437853,44319,0
132727,687,37.80213931093798,30311,0
146324,565,25.832008413041663,29942,0
195203,504,8.009716532982925,28383,0
211335,527,64.73238488759559,17970,0
36023,539,66.5105133956003,39520,1
61090,372,72.55354322637642,5288,1
87221,687,78.4915151965556,13370,0
84820,677,13.493208995954602,6385,0
20769,511,25.587866205130616,37679,1
79735,470,52.296367806849965,3515,1
214027,451,70.72768053075629,33632,0
84925,403,17.173402960581846,43696,1
219041,521,41.26595047878026,14062,0
25311,581,78.4090055174906,32217,1
123355,687,29.827054165853806,20257,0
234176,671,41.83271867131544,2931,0
204779,428,57.03516550546909,46367,0
105305,703,36.629470866742444,15054,0
179765,519,58.81547137695828,12496,0
223004,472,16.074069640858063,27815,0
244088,771,22.294779108910316,2113,0
150608,752,34.0168541965144,10417,0
176730,801,78.79293080147681,42565,0
104478,351,31.15810280668824,29010,1
142537,393,73.66560990633906,39372,1
169503,320,70.61557879343863,35175,1
150523,405,61.68537918863239,20689,1
22747,499,32.77588879366178,26522,1
143855,651,29.78316610750001,16805,0
210222,580,52.976978494011476,49491,0
85725,581,22.44236634891477,22619,0
149981,838,32.03878409243025,35922,0
104654,544,66.1350958967565,33642,1
186845,728,20.803624116515014,36551,0
139346,337,67.10910096242176,28281,1
87435,718,46.400865542976206,11552,0
76886,601,43.36746206552803,19962,0
86803,370,51.021498593876395,20659,1
51551,824,52.356228904751106,30571,0
136216,473,46.87507540988642,27647,1
31394,389,57.60719055343949,41006,1
89092,667,31.851191107397895,23511,0
23890,506,65.80438957637921,44600,1
61606,361,21.59036996641933,22806,1
247348,618,58.5755189904898,11726,0
231110,359,33.906250876864576,23897,0
107313,404,57.11459759592705,5375,1
161699,538,7.431754222646984,27706,0
28792,761,34.271987983982804,15233,0
225041,426,77.2341283696969,30005,0
194073,382,47.96504492001212,43078,1
227624,519,42.44858208019714,16634,0
174969,707,23.5581177021288,15902,0
88148,729,41.861800299001,32385,0
144243,812,66.75562288254562,26671,0
140174,378,30.38260598604929,3645,1
174555,364,47.36618738534933,27209,1
144358,482,55.516668136827775,19625,0
68555,365,35.06555095019867,26164,1
37159,507,26.227938481553593,20071,1
130510,353,16.66790403949899,34993,0
126530,520,12.589356977746395,39744,0
100077,535,23.08244259211065,20040,0
55920,737,6.46551778654726,32324,0
243139,402,62.01247081744378,25376,0
218193,735,13.38266057050267,4443,0
220551,720,72.42363461677921,26050,0
240547,407,43.30309637866088,32782,0
39457,823,39.271838237393176,47260,0
217629,742,9.858627564627982,31442,0
228261,805,14.999816229714067,28612,0
98953,703,69.25683207468859,34314,0
72995,642,55.45784501494202,34709,0
191829,626,12.090328218936465,1207,0
29692,513,56.08768781275537,32374,1
196830,621,14.821627766536562,12802,0
223481,377,59.946026896798564,6088,0
222283,354,75.84243069180457,49728,1
216769,370,61.87615566751371,25139,0
57065,367,66.78583586104564,36081,1
243165,479,51.54620248640658,43916,0
119299,679,5.27851066975324,16883,0
183678,749,63.889732805537825,39844,0
31534,560,35.30776312901422,42966,1
245735,746,70.4784705761505,29628,0
60397,430,47.959856197611614,25803,1
111387,533,19.367342978150717,14126,0
21016,453,9.11516945674942,23731,1
240861,629,46.63177996168305,14843,0
75591,352,47.514538331448726,36361,1
240884,767,69.50507699753106,34374,0
43247,712,7.906417609720374,22893,0
44300,313,66.59437099702863,15572,1
225137,795,35.42251772891702,41413,0
102798,816,44.625339912665275,10503,0
29268,667,45.004304573736725,41859,1
106807,838,33.674448061395154,1706,0
32185,751,18.95012415066293,17815,0
214776,840,10.911728072386062,2663,0
237851,814,20.524273321987916,2210,0
